place_of_visit,period_of_visit_from,period_of_visit_to,no_of_days,expenses_incurred_on_chartered_flight_rs
Bhutan,15-06-2014,16-06-2014,1,24527465
Brazil,13-07-2014,17-07-2014,4,203548000
Nepal,03-08-2014,05-08-2014,2,IAF BBJ Aircraft
Japan,30-08-2014,03-09-2014,4,134758000
USA,25-09-2014,01-10-2014,6,190460000
Myanmar,11-11-2014,13-11-2014,2,75288333
Australia,14-11-2014,19-11-2014,4,75288333
Fiji,19-11-2014,20-11-2014,3,75288333
Nepal,25-11-2014,27-11-2014,2,IAF BBJ Aircraft
Seychelles,10-03-2015,11-03-2015,1,52841666
Mauritius,11-03-2015,13-03-2015,2,52841666
Sri Lanka,13-03-2015,14-03-2015,1,52841666
Singapore,28-03-2015,29-03-2015,1,IAF BBJ Aircraft
France,09-04-2015,12-04-2015,3,104192667
Germany,12-04-2015,14-04-2015,2,104192667
Canada,14-04-2015,17-04-2015,3,104192667
China ,14-05-2015,16-05-2015,1,50514333
Mongolia,16-05-2015,17-05-2015,1,50514333
South Korea,17-05-2015,19-05-2015,2,50514333
Bangladesh,06-06-2015,07-06-2015,1,IAF BBJ Aircraft
Uzbekistan,06-07-2015,06-07-2015,1,19729875
Kazakhstan,07-07-2015,07-07-2015,1,19729875
Russia,08-07-2015,10-07-2015,2,19729875
Turkmenistan,10-07-2015,11-07-2015,1,19729875
Kyrgyzstan,12-07-2015,12-07-2015,1,19729875
Tajikistan,12-07-2015,14-07-2015,2,19729875
United Arab Emirates,16-08-2015,17-08-2015,1,59066000
Ireland,23-09-2015,23-09-2015,1,30782500
USA,24-09-2015,29-09-2015,5,153912500
UK,12-11-2015,14-11-2015,2,46546500
Turkey,14-11-2015,16-11-2015,3,46546500
Malaysia,20-11-2015,22-11-2015,2,35246500
Singapore,23-11-2015,25-11-2015,2,35246500
France,29-11-2015,30-11-2015,1,68281000
Russia,23-12-2015,24-12-2015,1,27137000
Afghanistan,24-12-2015,25-12-2015,0.5,27137000
Pakistan,25-12-2015,25-12-2015,0.5,27137000
Belgium,30-03-2016,30-03-2016,1,39625500
USA,31-03-2016,01-04-2016,1,39625500
Saudi Arabia,01-04-2016,03-04-2016,2,39625500
Iran,22-05-2016,23-05-2016,1,IAF BBJ Aircraft
Afghanistan,04-06-2016,04-06-2016,1,23194333
Qatar,04-06-2016,05-06-2016,1,23194333
Switzerland,06-06-2016,06-06-2016,0.5,23194333
USA,06-06-2016,08-06-2016,2,23194333
Mexico,09-06-2016,09-06-2016,0.5,23194333
Uzbekistan,23-06-2016,24-06-2016,1,63278000
Mozambique,07-07-2016,07-07-2016,1,32023500
South Africa,07-07-2016,09-07-2016,2,32023500
Tanzania,09-07-2016,10-07-2016,1,32023500
Kenya,10-07-2016,11-07-2016,1,32023500
Vietnam,02-09-2016,03-09-2016,1,31797000
China,03-09-2016,05-09-2016,2,63594000
Laos,07-09-2016,08-09-2016,1,47751000
Japan,10-11-2016,12-11-2016,2,130586000
Sri Lanka,11-05-2017,12-05-2017,1,52404000
Germany ,29-05-2017,30-05-2017,1,41298750
Spain,30-05-2017,31-05-2017,1,41298750
Russia,31-05-2017,02-06-2017,2,41298750
France,02-06-2017,03-06-2017,1,41298750
Kazakhstan,08-06-2017,09-06-2017,1,56508000
Portugal,24-06-2017,24-06-2017,1,46093666.67
USA,24-06-2017,26-06-2017,2,46093666.67
Netherlands,26-06-2017,27-06-2017,1,46093666.67
Israel,04-07-2017,06-07-2017,2,56424000
Germany,06-07-2017,08-07-2017,2,56424000
China,03-09-2017,05-09-2017,2,69390000
Myanmar,05-09-2017,07-09-2017,2,69390000
Philippines,12-11-2017,14-11-2017,2,101168000
Switzerland,22-01-2018,23-01-2018,1,132083000
Jordan,09-02-2018,09-02-2018,0.5,23991000
Palestine,10-02-2018,10-02-2018,0.5,23991000
UAE,10-02-2018,11-02-2018,1,23991000
Oman,11-02-2018,12-02-2018,1,23991000
Sweden,16-04-2018,18-04-2018,2,35419000
UK,18-04-2018,20-04-2018,1.5,35419000
Germany,20-04-2018,20-04-2018,0.5,35419000
China,26-04-2018,28-04-2018,2,60746000
Nepal,11-05-2018,12-05-2018,1,16109298
Russia,21-05-2018,22-05-2018,1,72638000
Indonesia,29-05-2018,30-05-2018,1,34061333.33
Malaysia,30-05-2018,31-05-2018,2,34061333.33
Singapore,31-05-2018,02-06-2018,3,34061333.33
China,09-06-2018,10-06-2018,1,78356000
Rwanda,23-07-2018,24-07-2018,1,47058666.67
Uganda,24-07-2018,25-07-2018,1,47058666.67
South Africa,25-07-2018,28-07-2018,3,47058666.67
Nepal,30-08-2018,31-08-2018,1,IAF BBJ Aircraft
Japan,27-10-2018,30-10-2018,3,"8,51,10,000"
Singapore,13-11-2018,15-11-2018,2,"5,20,40,000"
Maldives,17-11-2018,17-11-2018,0,"3,48,42,000"
Argentina,28-11-2018,03-12-2018,5,"15,59,83,000"
South Korea,21-02-2019,22-02-2019,1,"9,48,38,000"
Maldives & Sri Lanka,08-06-2019,09-06-2019,2,IAF BBJ Aircraft
Kyrgyzstan,13-06-2019,14-06-2019,2,"9,37,11,000"
Japan,27-06-2019,29-06-2019,3,"9,91,62,000"
Bhutan,17-08-2019,18-08-2019,2,IAF BBJ Aircraft
"France, UAE and Bahrian",22-08-2019,27-08-2019,6,"14,91,68,000"
Russia,04-09-2019,05-09-2019,2,"12,02,80,000"
USA,21-09-2019,28-09-2019,8,"23,27,09,000"
Saudi Arabia,28-10-2019,29-10-2019,2,"5,03,03,000"
Thailand,02-11-2019,04-11-2019,3,"6,68,34,000"
Brazil,13-11-2021,15-11-2019,3,"20,01,61,000"
Bangladesh,26-03-2021,27-03-2021,2,NA
USA,22-09-2021,26-09-2021,5,NA
Italy and UK,29-10-2021,02-11-2021,5,NA
